what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096057825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096058345
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305096060455
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305096064565
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096066455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096081985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305096082095
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305096083605
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305096084545
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096084895
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096089615
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305096092785
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305096098125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096100325
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096132575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305096132655
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305096133155
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305096134225
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096134525
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096135185
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305096138075
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305096140945
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1305096140975
